3,1679050619890,7
-8085,7218806261122202245,-7218804582071582345
11,1679050619897,3
15,1679050619897,4
2,1679050619897,4
6,1679050619897,4
10,1679050619897,4
14,1679050619898,3
1,1679050619898,4
5,1679050619898,4
9,1679050619898,4
13,1679050619899,3
0,1679050619899,3
4,1679050619899,3
8,1679050619899,4
12,1679050619899,4
3,1679050620401,0
7,1679050620401,136
11,1679050620401,136
15,1679050620402,135
2,1679050620402,136
6,1679050620402,136
10,1679050620402,136
14,1679050620402,136
18084,2794966218749861249,-2794964539699240711
5,1679050620403,135
9,1679050620403,136
13,1679050620403,136
0,1679050620403,136
4,1679050620403,136
8,1679050620404,135
12,1679050620404,135
3,1679050620913,0
-7876,-5961529251155674756,5961530930206295795
11,1679050620913,126
15,1679050620913,127
2,1679050620914,126
6,1679050620914,126
10,1679050620914,126
14,1679050620914,126
1,1679050620914,127
5,1679050620915,126
9,1679050620915,126
13,1679050620915,126
0,1679050620915,126
4,1679050620915,126
8,1679050620915,127
12,1679050620916,126
3,1679050621417,0
7,1679050621417,126
11,1679050621417,126
15,1679050621418,125
2,1679050621418,125
6,1679050621418,125
10,1679050621418,126
14,1679050621418,126
1,1679050621418,126
5,1679050621418,126
9,1679050621419,125
13,1679050621419,125
0,1679050621419,126
4,1679050621419,126
8,1679050621420,125
12,1679050621420,125
3,1679050621921,0
7,1679050621921,127
11,1679050621921,127
15,1679050621921,127
2,1679050621922,126
6,1679050621922,127
10,1679050621922,127
14,1679050621922,127
1,1679050621922,127
5,1679050621922,127
9,1679050621923,126
13,1679050621923,126
0,1679050621923,127
4,1679050621923,127
8,1679050621923,127
12,1679050621923,127
3,1679050622425,0
7,1679050622425,126
11,1679050622426,126
15,1679050622426,126
2,1679050622426,126
-10578,1226481553982741001,-1226479874932118449
10,1679050622426,126
14,1679050622426,127
1,1679050622427,126
5,1679050622427,126
9,1679050622427,126
13,1679050622427,126
0,1679050622427,126
4,1679050622427,127
8,1679050622428,126
12,1679050622428,126
3,1679050622929,0
7,1679050622929,126
11,1679050622929,126
15,1679050622929,126
2,1679050622930,125
6,1679050622930,125
10,1679050622930,126
9259,3315990452086398899,-3315988773035775843
1,1679050622930,126
5,1679050622930,126
9,1679050622931,125
13,1679050622931,125
0,1679050622931,125
4,1679050622931,125
8,1679050622931,126
12,1679050622931,126
