3	1679075728042	6
15	1679075728048	6
6	1679075728048	6
10	1679075728049	5
14	1679075728049	5
1	1679075728049	6
5	1679075728049	6
9	1679075728049	6
13	1679075728050	5
0	1679075728050	5
4	1679075728050	5
8	1679075728050	5
12	1679075728050	7
3	1679075728553	0
7	1679075728553	142
11	1679075728553	142
15	1679075728554	141
2	1679075728554	142
6	1679075728554	142
10	1679075728554	142
14	1679075728554	142
1	1679075728555	141
5	1679075728555	141
0	1679075728555	142
4	1679075728555	142
8	1679075728555	142
12	1679075728555	142
3	1679075729057	1
7	1679075729058	127
15	1679075729058	127
2	1679075729058	127
6	1679075729059	127
10	1679075729059	127
14	1679075729059	127
1	1679075729059	127
5	1679075729059	127
9	1679075729060	126
13	1679075729060	127
0	1679075729060	127
4	1679075729060	127
8	1679075729060	127
12	1679075729060	127
3	1679075729563	0
7	1679075729563	127
11	1679075729564	127
15	1679075729564	127
2	1679075729564	127
6	1679075729564	127
10	1679075729564	127
14	1679075729564	127
1	1679075729565	127
5	1679075729565	127
9	1679075729565	127
13	1679075729565	127
0	1679075729565	127
4	1679075729565	127
8	1679075729565	128
12	1679075729565	128
3	1679075730067	1
7	1679075730068	126
11	1679075730068	127
15	1679075730068	127
2	1679075730068	127
5	1679075730069	126
9	1679075730069	126
13	1679075730069	126
0	1679075730069	126
4	1679075730070	126
8	1679075730070	126
12	1679075730070	126
3	1679075730572	0
